occupation,industry,domain,group
FASHION DESIGNER,DESIGN,ARTS,FINE ARTS
GAME DESIGNER,DESIGN,ARTS,FINE ARTS
DESIGNER,DESIGN,ARTS,FINE ARTS
COMIC ARTIST,DESIGN,ARTS,FINE ARTS
ARCHITECT,DESIGN,ARTS,FINE ARTS
PHOTOGRAPHER,FINE ARTS,ARTS,FINE ARTS
SCULPTOR,FINE ARTS,ARTS,FINE ARTS
ARTIST,FINE ARTS,ARTS,FINE ARTS
PAINTER,FINE ARTS,ARTS,FINE ARTS
COMPOSER,MUSIC,ARTS,FINE ARTS
DANCER,DANCE,ARTS,PERFORMING ARTS
COMEDIAN,FILM AND THEATRE,ARTS,PERFORMING ARTS
FILM DIRECTOR,FILM AND THEATRE,ARTS,PERFORMING ARTS
ACTOR,FILM AND THEATRE,ARTS,PERFORMING ARTS
MUSICIAN,MUSIC,ARTS,PERFORMING ARTS
SINGER,MUSIC,ARTS,PERFORMING ARTS
CONDUCTOR,MUSIC,ARTS,PERFORMING ARTS
PRODUCER,BUSINESS,BUSINESS & LAW,OTHER
BUSINESSPERSON,BUSINESS,BUSINESS & LAW,OTHER
LAWYER,LAW,BUSINESS & LAW,OTHER
ASTRONAUT,EXPLORERS,EXPLORATION,OTHER
EXPLORER,EXPLORERS,EXPLORATION,OTHER
HISTORIAN,HISTORY,HUMANITIES,HUMANITIES
CRITIC,LANGUAGE,HUMANITIES,HUMANITIES
JOURNALIST,LANGUAGE,HUMANITIES,HUMANITIES
LINGUIST,LANGUAGE,HUMANITIES,HUMANITIES
WRITER,LANGUAGE,HUMANITIES,HUMANITIES
PHILOSOPHER,PHILOSOPHY,HUMANITIES,HUMANITIES
JUDGE,GOVERNMENT,INSTITUTIONS,GOVERNMENT
PUBLIC WORKER,GOVERNMENT,INSTITUTIONS,GOVERNMENT
DIPLOMAT,GOVERNMENT,INSTITUTIONS,GOVERNMENT
NOBLEMAN,GOVERNMENT,INSTITUTIONS,GOVERNMENT
POLITICIAN,GOVERNMENT,INSTITUTIONS,GOVERNMENT
MILITARY PERSONNEL,MILITARY,INSTITUTIONS,GOVERNMENT
PILOT,MILITARY,INSTITUTIONS,GOVERNMENT
RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,RELIGION
