wp_id,slug,title,deathdate,description,prev_views,latest_views,diff,ratio,pct_change,anomaly_score
61279169,Angélica_André,Angélica André,,Portuguese swimmer,113,120408,120295,1065.5575221238937,1064.5575221238937,1076.5870221238938
46520750,Yuki_Yamanouchi,Yuki Yamanouchi,,Japanese footballer,116,59628,59512,514.0344827586207,513.0344827586207,518.9856827586207
1342873,Vijay_(actor),Vijay (actor),,Indian actor and playback singer,309775,4550088,4240313,14.688364135259462,13.688364135259462,437.71966413525945
1467805,Kyle_Busch,Kyle Busch,2026-05-21,American racing driver and team owner,28389,3149093,3120704,110.92652083553489,109.92652083553489,421.99692083553487
60406155,Clarice_Phelps,Clarice Phelps,,African American nuclear chemist,609,224899,224290,369.29228243021345,368.29228243021345,390.7212824302134
76453946,Péter_Magyar,Péter Magyar,,"Hungarian lawyer, diplomat, political activist (1981–)",4080952,685965,-3394987,0.16808945559761546,-0.8319105444023845,340.33061054440236
14995351,Michael_Jackson,Michael Jackson,2009-06-25,"American singer, songwriter, and dancer",5209531,7845587,2636056,1.5060063948174989,0.5060063948174989,264.1116063948175
58596358,Brandon_Clarke,Brandon Clarke,2026-05-11,Canadian basketball player,11721,1435547,1423826,122.47649517959219,121.47649517959219,263.8590951795922
78468,David_Attenborough,David Attenborough,,British broadcaster and naturalist,546407,3099302,2552895,5.672149148894506,4.672149148894506,259.96164914889454
39700916,Christina_Koch,Christina Koch,,American astronaut,2580880,110676,-2470204,0.04288304764266452,-0.9571169523573355,247.97751695235732
30475,Ted_Turner,Ted Turner,2026-05-06,"American media mogul, entrepreneur, and philanthropist",0,2135406,2135406,,,213.5406
7146371,Reinier_Nooms,Reinier Nooms,,painter (c.1623-1664),228,46395,46167,203.48684210526315,202.48684210526315,207.10354210526316
348734,Alex_Zanardi,Alex Zanardi,2026-05-01,Italian racecar driver and handcyclist,97042,1966015,1868973,20.25942375466293,19.25942375466293,206.15672375466292
750582,Viktor_Orbán,Viktor Orbán,,"Hungarian politician, chairman of Fidesz; Prime Minister of Hungary (2010-present)",2243745,305538,-1938207,0.13617322824117714,-0.8638267717588228,194.6845267717588
37076719,Eric_Swalwell,Eric Swalwell,,American lawyer and politician (born 1980),1996620,90921,-1905699,0.045537458304534664,-0.9544625416954653,191.52436254169547
3949844,Rory_McIlroy,Rory McIlroy,,Northern Irish professional golfer,2132213,242608,-1889605,0.11378225346154441,-0.8862177465384555,189.84671774653845
251081,Asha_Bhosle,Asha Bhosle,2026-04-12,Indian singer,1937502,82897,-1854605,0.042785504221415,-0.957214495778585,186.41771449577857
5242829,Nathalie_Baye,Nathalie Baye,2026-04-17,French actress,1907308,104062,-1803246,0.05455962015573783,-0.9454403798442622,181.27004037984426
2970778,Georg_Calixtus,Georg Calixtus,,German Lutheran theologian (1586-1656),370,62155,61785,167.98648648648648,166.98648648648648,173.1649864864865
23437180,Reid_Wiseman,Reid Wiseman,,"American astronaut, engineer, and naval aviator",1770848,55570,-1715278,0.0313804459784239,-0.9686195540215761,172.4964195540216
23635804,Debbie_Rowe,Debbie Rowe,,former wife of Michael Jackson,741089,2313252,1572163,3.1214226631349273,2.1214226631349273,159.3377226631349
21463666,Jevgenij_Shuklin,Jevgenij Shuklin,2026-05-28,Lithuanian canoeist,290,44573,44283,153.7,152.7,157.1283
4848272,Donald_Trump,Donald Trump,,45th president of the United States,3720094,2175002,-1545092,0.5846631832421438,-0.4153368167578561,154.92453681675784
1615178,Mircea_Lucescu,Mircea Lucescu,2026-04-07,Romanian footballer and manager,1564223,50117,-1514106,0.032039549348142814,-0.9679604506518572,152.37856045065183
6620602,Bryan_Bergougnoux,Bryan Bergougnoux,2026-05-29,French footballer,1142,155112,153970,135.82486865148863,134.82486865148863,150.22186865148862
8155181,Nadia_Farès,Nadia Farès,2026-04-17,French actress,1546029,95309,-1450720,0.06164761463077342,-0.9383523853692266,146.01035238536923
62201726,Victor_Wembanyama,Victor Wembanyama,,,649632,2082874,1433242,3.206236761735875,2.206236761735875,145.53043676173587
616593,Luis_Enrique_(footballer),Luis Enrique,,Spanish footballer and manager,401177,1806347,1405170,4.502618544931539,3.502618544931539,144.01961854493155
60216431,Michael_Olise,Michael Olise,,French-English footballer (born 2001),2441367,1020676,-1420691,0.4180756109179816,-0.5819243890820184,142.651024389082
18010084,Spencer_Pratt,Spencer Pratt,,American television personality,199323,1519807,1320484,7.624845100665754,6.624845100665754,138.67324510066575
18711391,Antonio_Bertoloni,Antonio Bertoloni,,Italian botanist (1775-1868),227,31006,30779,136.59030837004406,135.59030837004406,138.66820837004406
